,time,high,low,open,volumefrom,volumeto,close
170,2022-01-30 11:00:00,38278.1,37990.15,38201.29,421.34,16062042.18,38138.47
171,2022-01-30 12:00:00,38157.68,37882.04,38138.47,460.35,17499170.2,37958.02
172,2022-01-30 13:00:00,38017.85,37861.11,37958.02,417.87,15861367.43,37992.82
173,2022-01-30 14:00:00,38021.26,37753.47,37992.82,643.69,24363771.9,37856.35
174,2022-01-30 15:00:00,38046.37,37814.45,37856.35,615.62,23373440.67,37979.19
175,2022-01-30 16:00:00,38072.4,37820.49,37979.19,581.18,22049458.14,37842.82
176,2022-01-30 17:00:00,38015.98,37780.72,37842.82,517.79,19629258.38,38009.93
177,2022-01-30 18:00:00,38040.53,37840.25,38009.93,500.2,18979114.84,37844.89
178,2022-01-30 19:00:00,37845.02,37473.08,37844.89,1680.64,63177231.59,37531.19
179,2022-01-30 20:00:00,37755.64,37377.53,37531.19,1197.62,45013768.37,37708.23
180,2022-01-30 21:00:00,37787.58,37515.94,37708.23,948.02,35702247.74,37749.64
181,2022-01-30 22:00:00,37866.2,37659.95,37749.64,779.21,29418107.51,37808.39
182,2022-01-30 23:00:00,38253.81,37803.24,37808.39,1448.67,55120369.71,37908.44
183,2022-01-31 00:00:00,37955.83,36856.65,37908.44,2597.8,96997976.77,36858.19
184,2022-01-31 01:00:00,36980.02,36787.17,36858.19,1594.28,58797736.7,36844.45
185,2022-01-31 02:00:00,37023.52,36660.7,36844.45,1167.59,43022149.94,37015.99
186,2022-01-31 03:00:00,37073.24,36948.52,37015.99,510.34,18891528.96,37049.7
187,2022-01-31 04:00:00,37050.08,36836.51,37049.7,559.88,20680285.44,36929.9
188,2022-01-31 05:00:00,37041.62,36875.74,36929.9,463.17,17120699.13,37027.72
189,2022-01-31 06:00:00,37092.86,36922.45,37027.72,576.09,21317340.12,36922.85
190,2022-01-31 07:00:00,37215.17,36891.93,36922.85,679.1,25182638.32,37138.79
191,2022-01-31 08:00:00,37239.73,37130.33,37138.79,615.01,22871632.69,37168.32
192,2022-01-31 09:00:00,37267.92,37116.23,37168.32,473.97,17625372.44,37231.37
193,2022-01-31 10:00:00,37357.0,37175.5,37231.37,584.17,21753746.74,37316.6
194,2022-01-31 11:00:00,37355.52,36913.55,37316.6,1286.0,47740082.14,37292.85
195,2022-01-31 12:00:00,37419.24,36867.46,37292.85,1271.54,47128421.1,37100.04
196,2022-01-31 13:00:00,37378.11,36844.68,37100.04,1891.52,70330980.43,37286.89
197,2022-01-31 14:00:00,37537.51,37218.04,37286.89,1723.68,64449470.12,37537.04
198,2022-01-31 15:00:00,37911.21,37528.54,37537.04,2782.2,105099110.78,37724.71
199,2022-01-31 16:00:00,38420.21,37701.31,37724.71,3474.77,132247394.36,38348.35
200,2022-01-31 17:00:00,38627.35,38164.53,38348.35,1783.02,68460615.51,38459.36
